Designator,Footprint,Quantity,Value,LCSC Part #
_115,,1,,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C4, C5, C6, C7, C8, C9",0603,38,10V 10uF,C19702
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J22, J23, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,20,Conn_01x04,
"J40, J41",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
R1,0402,1,R0,C17168
"U1, U10, U100, U101, U102, U103, U104, U105, U106, U107, U108, U109, U11, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U12, U120, U121, U122, U123, U124, U125, U126, U127, U128, U129, U13, U130, U131, U132, U133, U134, U135, U136, U137, U138, U139, U14, U140, U141, U142, U143, U144, U145, U146, U147, U148, U149, U15, U150, U151, U152, U153, U154, U155, U156, U157, U158, U159, U16, U160, U161, U162, U163, U164, U165, U166, U167, U168, U169, U17, U170, U171, U172, U173, U174, U175, U176, U177, U178, U179, U18, U180, U181, U182, U183, U184, U185, U186, U187, U188, U189, U19, U190, U191, U192, U193, U194, U195, U196, U197, U198, U199, U2, U20, U200, U201, U202, U203, U204, U205, U206, U207, U208, U209, U21, U210, U211, U212, U213, U214, U215, U216, U217, U218, U219, U22, U220, U221, U222, U223, U224, U225, U226, U227, U228, U229, U23, U230, U231, U232, U233, U234, U235, U236, U237, U238, U239, U24, U240, U241, U242, U243, U244, U245, U246, U247, U248, U249, U25, U250, U251, U252, U253, U254, U255, U256, U257, U258, U259, U26, U260, U261, U262, U263, U264, U265, U266, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,200,XL-1010RGBC,C5349953
U267,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
"U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U8, U80, U81, U82, U83, U84, U85, U86, U87, U88, U89, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,66,XL-1010RGBC,C5349953
"mouse-bite-2mm-slot_70, mouse-bite-2mm-slot_69, mouse-bite-2mm-slot_63, mouse-bite-2mm-slot_57, mouse-bite-2mm-slot_54, mouse-bite-2mm-slot_53, mouse-bite-2mm-slot_49, mouse-bite-2mm-slot_46, mouse-bite-2mm-slot_43, mouse-bite-2mm-slot_42, mouse-bite-2mm-slot_41, mouse-bite-2mm-slot_38, mouse-bite-2mm-slot_35, mouse-bite-2mm-slot_31, mouse-bite-2mm-slot_30, mouse-bite-2mm-slot_28, mouse-bite-2mm-slot_26, mouse-bite-2mm-slot_24, mouse-bite-2mm-slot_23, mouse-bite-2mm-slot_21, mouse-bite-2mm-slot_15, mouse-bite-2mm-slot_14, mouse-bite-2mm-slot_10, mouse-bite-2mm-slot_7, mouse-bite-2mm-slot_6, mouse-bite-2mm-slot_4, mouse-bite-2mm-slot_3, mouse-bite-2mm-slot",mouse-bite-2mm-slot_edge,28,VAL**,
"mouse-bite-2mm-slot_68, mouse-bite-2mm-slot_67, mouse-bite-2mm-slot_66, mouse-bite-2mm-slot_65, mouse-bite-2mm-slot_64, mouse-bite-2mm-slot_62, mouse-bite-2mm-slot_61, mouse-bite-2mm-slot_60, mouse-bite-2mm-slot_59, mouse-bite-2mm-slot_58, mouse-bite-2mm-slot_56, mouse-bite-2mm-slot_55, mouse-bite-2mm-slot_52, mouse-bite-2mm-slot_51, mouse-bite-2mm-slot_50, mouse-bite-2mm-slot_48, mouse-bite-2mm-slot_47, mouse-bite-2mm-slot_45, mouse-bite-2mm-slot_44, mouse-bite-2mm-slot_40, mouse-bite-2mm-slot_39, mouse-bite-2mm-slot_37, mouse-bite-2mm-slot_36, mouse-bite-2mm-slot_34, mouse-bite-2mm-slot_33, mouse-bite-2mm-slot_32, mouse-bite-2mm-slot_29, mouse-bite-2mm-slot_27, mouse-bite-2mm-slot_25, mouse-bite-2mm-slot_22, mouse-bite-2mm-slot_20, mouse-bite-2mm-slot_19, mouse-bite-2mm-slot_18, mouse-bite-2mm-slot_17, mouse-bite-2mm-slot_16, mouse-bite-2mm-slot_13, mouse-bite-2mm-slot_12, mouse-bite-2mm-slot_11, mouse-bite-2mm-slot_9, mouse-bite-2mm-slot_8, mouse-bite-2mm-slot_5, mouse-bite-2mm-slot_2",mouse-bite-2mm-slot_1,42,VAL**,
